Typ,noCustomers,time Laptop,cputime Laptop,time rechentier,cputime Rechentier,impl,,NO_VISITS,10.000.000
,4,580,1598,2852,9623,ATOMIC,,,
,4,167,558,1327,4030,ADDER,,,
,4,356,846,1839,5389,ATOMIC_ADDER,,,
,8,1266,3431,10163,33950,MONITOR,,,
,8,1332,3469,8008,22324,LESS_MONITOR,,,
,8,443,643,2406,4670,LOCKFACADE,,,
,8,576,2095,5167,30264,ATOMIC,,,
,8,163,599,1423,8715,ADDER,,,
,8,482,1790,2812,13278,ATOMIC_ADDER,,,
,16,937,1877,9542,28932,MONITOR,,,
,16,1016,2017,8323,23306,LESS_MONITOR,,,
,16,426,610,2390,4648,LOCKFACADE,,,
,16,614,2366,6985,73165,ATOMIC,,,
,16,163,606,1323,14275,ADDER,,,
,16,505,1904,4413,34931,ATOMIC_ADDER,,,
,32,935,1864,10574,32052,MONITOR,,,
,32,1028,2025,11962,38585,LESS_MONITOR,,,
,32,434,621,2567,4689,LOCKFACADE,,,
,32,669,2568,9843,166487,ATOMIC,,,
,32,175,636,1013,17702,ADDER,,,
,32,551,2119,6915,100766,ATOMIC_ADDER,,,
,64,923,1803,10196,30743,MONITOR,,,
,64,990,1924,11835,37523,LESS_MONITOR,,,
,64,414,566,2554,4568,LOCKFACADE,,,
,64,695,2654,13839,378164,ATOMIC,,,
,64,170,579,1043,27739,ADDER,,,
,64,513,1940,12706,367207,ATOMIC_ADDER,,,
