"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",35,6,"504346,969688","626766,975958","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",35,6,"15119,586968","22854,886985","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",35,6,"44005,627359","58363,599229","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",35,6,"15029,473016","18772,067077","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",35,6,"402489,062146","509634,631891","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",35,6,"27703,220199","42591,238756","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",35,6,"8040881,812532","8727389,599457","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",35,6,"6197805,918420","6777674,435180","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",35,6,"546850,039216","574714,037122","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",35,6,"711060,714296","765562,339519","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",35,6,"37686,625815","39854,534602","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",35,6,"547478,514787","575829,642545","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",35,6,"4182181,516400","672472,000143","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",35,6,"2307763,757183","968061,228932","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",35,6,"44325,812507","34187,519953","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",35,6,"1771833,157236","945560,501095","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",35,6,"8114,670038","28067,994384","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",35,6,"50144,119436","24329,593731","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",35,6,"1001881,372484","472595,689046","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",35,6,"88006,103302","58488,063506","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",35,6,"322193,799401","203535,399494","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",35,6,"62283,979332","47175,984390","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",35,6,"187985,619005","99683,724453","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",35,6,"341411,871444","199327,619832","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",35,6,"660375,771190","294823,321593","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",35,6,"231149,135023","102499,185679","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",35,6,"74126,423207","35553,829651","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",35,6,"230314,569897","101505,789451","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",35,6,"51781,475285","23932,337693","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",35,6,"73004,167777","33680,228846","ops/s",Ref,40
