"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",20,6,"528646,312543","771943,966672","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",20,6,"12223,938826","19005,989939","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",20,6,"113842,264522","177041,777989","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",20,6,"13306,741127","19538,257852","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",20,6,"351992,441627","516093,142596","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",20,6,"37280,926441","62494,773436","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",20,6,"6195198,065793","8743314,559394","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",20,6,"4352039,783084","6014116,950651","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",20,6,"472288,335736","707443,651959","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",20,6,"845027,216619","1237064,578750","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",20,6,"53625,117793","80803,619208","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",20,6,"472217,612561","712734,550359","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",20,6,"5311270,573521","558854,650006","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",20,6,"2915522,250233","402033,448632","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",20,6,"67033,624130","15673,566795","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",20,6,"2254705,943868","262552,468591","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",20,6,"2634,417545","4292,732723","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",20,6,"71374,337744","21843,817621","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",20,6,"1034797,582873","456702,213762","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",20,6,"142885,307697","78520,596422","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",20,6,"327129,150434","151896,521841","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",20,6,"92666,147560","46675,215621","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",20,6,"139886,455229","43479,783945","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",20,6,"332230,521953","164053,836355","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",20,6,"792526,912454","465865,967980","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",20,6,"288338,971476","165548,243997","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",20,6,"80644,556764","54596,257013","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",20,6,"284924,852635","157465,582336","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",20,6,"58607,589117","39471,479866","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",20,6,"80010,942462","53390,048452","ops/s",Ref,40
