"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",10,6,"503986,935235","736734,092886","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",10,6,"21939,800746","31643,892006","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",10,6,"81329,819933","127602,910022","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",10,6,"23485,748184","34106,540201","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",10,6,"338482,816802","501800,435251","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",10,6,"38748,749570","57553,398643","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",10,6,"5394062,767800","11428479,826226","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",10,6,"3391108,621324","7416376,824169","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",10,6,"304867,705173","787307,412442","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",10,6,"1318587,299932","2841430,703020","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",10,6,"70872,100497","171109,758555","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",10,6,"308627,040874","812496,788761","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",10,6,"3953324,185480","849379,816067","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",10,6,"1956073,095939","398910,500314","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",10,6,"77635,369856","34182,506863","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",10,6,"1845486,556710","425167,617987","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",10,6,"477,897733","322,427243","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",10,6,"73651,265241","35648,441861","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",10,6,"925780,702459","147349,033930","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",10,6,"309076,592074","75933,557166","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",10,6,"183470,301729","40529,162150","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",10,6,"153083,161817","26441,465501","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",10,6,"85077,393967","25541,211383","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",10,6,"195073,252872","39820,371136","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",10,6,"859516,226633","510914,772904","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",10,6,"345492,404350","211819,416133","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",10,6,"67647,033297","43238,280711","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",10,6,"329129,318615","187511,537131","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",10,6,"49790,172805","30692,603330","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",10,6,"67457,297566","43070,681244","ops/s",Ref,40
