"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName"
"de.hs_augsburg.nlp.four.StringStreamBenchmark.main","thrpt",1,7,"38,417239","4,411230","ops/s",Sequential
"de.hs_augsburg.nlp.four.StringStreamBenchmark.main","thrpt",1,7,"565,651168","465,649547","ops/s",Parallel
