"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2463568,075967","116390,215174","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"63077,515516","27325,861300","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2325918,408115","281209,198528","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"3301,175891","2563,290988","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"54626,951704","26284,904469","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"4767537,962616","514692,464242","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2406436,137660","255061,178024","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"59823,265123","17319,392065","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2233996,832179","438002,796246","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"3586,228455","4497,815788","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"63695,499198","17322,275540","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"4658181,724225","624412,428536","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2316877,122315","365215,698345","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"57224,342399","16955,105262","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2212900,464179","296655,998242","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"3883,240746","2200,586761","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"67296,554586","15336,369065","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"1072648,859129","703307,474659","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"103258,609734","58323,485767","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"345373,263712","223549,118894","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"66352,699277","46857,545372","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"208181,704688","215283,548476","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"349482,581718","348169,237778","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"814460,190504","661523,844677","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"92648,324482","119463,275329","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"293159,505128","263286,079771","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"54667,888749","56309,800644","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"137863,793442","150855,342582","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"236120,678703","178388,327851","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"600401,569440","338339,959968","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"79054,552901","132607,505555","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"200486,729328","38707,739255","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"46285,403526","34455,800009","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"106107,453427","68055,440748","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"168467,430258","154629,772539","ops/s",Accumulator,100
